Name,Path,Lines,Size(KB),Classes,Interfaces,Methods,Exports,Imports,AnyTypes
"interfaces.ts","client/services/configGui/interfaces.ts",35,0.94,0,3,0,5,1,1
"interfaces.ts","shared/modules/ropeLabelMaker/interfaces.ts",49,0.89,0,4,0,4,0,1
"layoutConstants.ts","shared/modules/renderers/constants/layoutConstants.ts",29,0.87,0,0,0,1,0,0
"positionConstants.ts","shared/modules/renderers/constants/positionConstants.ts",35,0.86,0,0,0,1,0,0
"screenGuiManager.ts","client/services/configGui/components/axisMappingControls/utils/screenGuiManager.ts",33,0.85,0,0,0,2,1,0
"interfaces.ts","shared/modules/barMaker/interfaces.ts",36,0.82,0,2,0,3,1,0
"IService.ts","shared/interfaces/IService.ts",39,0.8,0,3,0,3,0,0
"main.server.ts","server/main.server.ts",22,0.78,0,0,0,0,1,0
"constants.ts","shared/modules/labelBlockMaker/constants.ts",28,0.75,0,0,0,1,1,0
"title.ts","client/services/configGui/components/title.ts",26,0.73,0,1,0,1,1,0
"constants.ts","shared/modules/ropeLabelMaker/constants.ts",39,0.69,0,0,0,1,0,0
"constants.ts","shared/modules/hexagonMaker/constants.ts",29,0.68,0,0,0,1,0,0
"constants.ts","shared/modules/hexStackMaker/constants.ts",23,0.56,0,0,0,1,0,0
"utilities.ts","shared/modules/hexStackMaker/utilities.ts",16,0.55,0,0,0,2,2,0
"stringUtils.ts","shared/utils/stringUtils.ts",22,0.54,0,0,0,1,0,0
"constants.ts","shared/modules/barMaker/constants.ts",21,0.5,0,0,0,1,0,0
"index.ts","client/services/configGui/index.ts",11,0.48,0,0,0,9,0,0
"index.ts","shared/modules/labelBlockMaker/index.ts",16,0.39,0,0,0,3,0,0
"utilities.ts","client/services/configGui/utilities.ts",16,0.34,0,0,0,1,1,0
"index.ts","shared/modules/renderers/blocks/index.ts",10,0.28,0,0,0,6,0,0
"index.ts","shared/modules/renderers/unifiedDataRenderer/core/dataGenerator/index.ts",9,0.27,0,0,0,5,0,0
"index.ts","shared/modules/ropeLabelMaker/index.ts",12,0.25,0,0,0,2,0,0
"index.ts","shared/modules/hexStackMaker/index.ts",6,0.24,0,0,0,3,0,0
"index.ts","shared/modules/hexagonMaker/index.ts",6,0.23,0,0,0,3,0,0
"index.ts","shared/modules/barMaker/index.ts",6,0.23,0,0,0,3,0,0
"interfaces.ts","shared/modules/hexagonMaker/interfaces.ts",11,0.23,0,1,0,1,0,1
"index.ts","shared/modules/renderers/unifiedDataRenderer/index.ts",9,0.22,1,0,0,3,0,0
"interfaces.ts","shared/modules/hexStackMaker/interfaces.ts",9,0.21,0,1,0,1,0,0
"index.ts","client/services/configGui/components/axisMappingControls/index.ts",5,0.17,0,0,0,3,0,0
"index.ts","shared/modules/renderers/constants/index.ts",7,0.15,0,0,0,3,0,0
"index.ts","shared/utils/validation/index.ts",7,0.14,0,0,0,4,0,0
